



1.49.c|{y^2=x^3+a^15*x+a^15,y^2=x^3+a^14*x+a^15,y^2=x^3+a^3*x+a^3,y^2=x^3+a^26*x+a^27,y^2=x^3+a^3,y^2=x^3+a^9*x+a^9,y^2=x^3+a^21*x+a^21,y^2=x^3+a^38*x+a^39}
1.49.n|{y^2=x^3+5*x+5}
1.49.aj|{y^2=x^3+a^29*x+a^30,y^2=x^3+a^47*x+1}
1.49.i|{y^2=x^3+x+a,y^2=x^3+a^7*x+a^7,y^2=x^3+a^36*x+a^37,y^2=x^3+a*x+a}
1.49.ae|{y^2=x^3+a^44*x+a^44,y^2=x^3+a^38*x+a^38,y^2=x^3+a^20*x+a^20,y^2=x^3+a^25*x+a^26,y^2=x^3+a^19*x+a^20,y^2=x^3+a^26*x+a^26}
1.49.d|{y^2=x^3+a^2*x+a^2,y^2=x^3+a^14*x+a^14}
1.49.o|{y^2=x^3+x}
1.49.ak|{y^2=x^3+a^35*x+a^35,y^2=x^3+a^34*x+a^35,y^2=x^3+a^10*x+a^11,y^2=x^3+a^41*x+a^41,y^2=x^3+a^5*x+a^5,y^2=x^3+a^47*x+a^47}
1.49.af|{y^2=x^3+a^2*x+a^3,y^2=x^3+4*x+a^33,y^2=x^3+a^39*x+a^39,y^2=x^3+a^33*x+a^33,y^2=x^3+a^20*x+a^21}
1.49.j|{y^2=x^3+a^45*x+a^45,y^2=x^3+a^27*x+a^27}
1.49.e|{y^2=x^3+a^46*x+a^47,y^2=x^3+5*x+a^41,y^2=x^3+a^28*x+a^29,y^2=x^3+a^23*x+a^23,y^2=x^3+a^22*x+a^23,y^2=x^3+a^17*x+a^17}
1.49.al|{y^2=x^3+a^13*x+a^14,y^2=x^3+a^31*x+4,y^2=x^3+a^2}
1.49.ag|{y^2=x^3+a^12*x+a^13,y^2=x^3+a^43*x+a^43,y^2=x^3+6*x+a^25,y^2=x^3+a^37*x+a^37,y^2=x^3+a^19*x+a^19,y^2=x^3+a^13*x+a^13}
1.49.k|{y^2=x^3+a*x+a^2,y^2=x^3+3*x+3,y^2=x^3+a^43*x+a^44,y^2=x^3+a^37*x+a^38,y^2=x^3+4*x+4,y^2=x^3+a^7*x+3}
1.49.ab|{y^2=x^3+a^4*x+a^4,y^2=x^3+a^27*x+a^28,y^2=x^3+a^33*x+a^34,y^2=x^3+a^28*x+a^28}
1.49.f|{y^2=x^3+a^18*x+a^18,y^2=x^3+x+1,y^2=x^3+a^30*x+a^30,y^2=x^3+a^41*x+a^42,y^2=x^3+a^35*x+a^36}
1.49.am|{y^2=x^3+3*x+a^9,y^2=x^3+a^44*x+a^45}
1.49.a|{y^2=x^3+a*x,y^2=x^3+a^3*x}
1.49.l|{y^2=x^3+a^29*x+a^29,y^2=x^3+a^11*x+a^11}
